name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2024-10-01,20.9,13.6,18.5,20.9,13.6,18.5,8.1,54.9,0,0,0,,0,0,47.5,29.2,328.1,1017,52.3,16,34.9,2.9,5,10,2024-10-01T06:48:04,2024-10-01T18:31:18,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-02,21.8,9.7,16,21.8,9.7,16,2.6,43.1,0,0,0,,0,0,31.7,18.1,236.4,1017.1,40.9,16,49.5,4.2,5,10,2024-10-02T06:49:08,2024-10-02T18:29:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-03,25.4,12.1,17.9,25.4,12.1,17.9,7.5,52.4,0,0,0,,0,0,29.9,17.7,259.6,1016.9,13.8,16,45.5,3.8,4,10,2024-10-03T06:50:13,2024-10-03T18:27:53,0.03,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-04,21.8,16.4,18.4,21.8,16.4,18.4,11.2,63.3,0.972,100,12.5,rain,0,0,42.5,27.1,44.2,1023.2,50.2,16,32.4,2.6,4,10,2024-10-04T06:51:18,2024-10-04T18:26:12,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-05,29.7,15.3,21.8,28.8,15.3,21.7,11.7,55,0,0,0,,0,0,54.1,30.7,165.5,1018.5,41.5,16,47.3,4,4,10,2024-10-05T06:52:23,2024-10-05T18:24:31,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-06,24.6,14.8,20.7,24.6,14.8,20.7,7,42.7,0,0,0,,0,0,55.4,32.9,277.9,1013.5,10.8,16,55.1,4.7,6,10,2024-10-06T06:53:29,2024-10-06T18:22:50,0.13,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-07,19.7,9.9,14.5,19.7,8.1,14.4,0.6,41.7,0,0,0,,0,0,29.5,18.7,315.4,1019.4,16.3,16,55,4.7,6,10,2024-10-07T06:54:35,2024-10-07T18:21:10,0.17,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-08,23.2,9.5,16,23.2,8.9,16,4.1,47.5,0,0,0,,0,0,41.7,18.9,291.2,1017,7.8,16,55.3,4.7,6,10,2024-10-08T06:55:41,2024-10-08T18:19:30,0.2,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-09,20.3,11.6,15.8,20.3,11.6,15.8,7.9,60.9,0,0,0,,0,0,31.7,21.6,81.8,1018.5,15.1,16,50.5,4.3,5,10,2024-10-09T06:56:47,2024-10-09T18:17:51,0.24,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-10,21.9,12.4,16.8,21.9,12.4,16.8,6.6,53.8,0,0,0,,0,0,24.8,14.5,95.1,1021.7,0.8,16,51.5,4.5,6,10,2024-10-10T06:57:54,2024-10-10T18:16:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
